provinsi,tahun,ipm_forecast,cluster_id,cluster_label
KALIMANTAN TENGAH,2023,73.73,1,Cluster B
KALIMANTAN SELATAN,2023,74.66,1,Cluster B
KALIMANTAN TIMUR,2023,78.2,1,Cluster B
KALIMANTAN UTARA,2023,72.88,1,Cluster B
SULAWESI UTARA,2023,75.04,1,Cluster B
SULAWESI TENGAH,2023,71.66,0,Cluster A
SULAWESI SELATAN,2023,74.6,1,Cluster B
SULAWESI TENGGARA,2023,72.94,0,Cluster A
GORONTALO,2023,71.25,0,Cluster A
SULAWESI BARAT,2023,69.8,0,Cluster A
MALUKU,2023,72.75,1,Cluster B
MALUKU UTARA,2023,70.98,1,Cluster B
PAPUA BARAT,2023,67.47,1,Cluster B
PAPUA BARAT DAYA,2023,67.47,1,Cluster B
PAPUA,2023,63.01,0,Cluster A
PAPUA SELATAN,2023,63.01,0,Cluster A
PAPUA TENGAH,2023,63.01,0,Cluster A
PAPUA PEGUNUNGAN,2023,63.01,0,Cluster A
ACEH,2024,74.7,1,Cluster B
SUMATERA UTARA,2024,75.13,1,Cluster B
SUMATERA BARAT,2024,75.64,1,Cluster B
RIAU,2024,74.95,1,Cluster B
JAMBI,2024,73.73,1,Cluster B
SUMATERA SELATAN,2024,73.18,1,Cluster B
BENGKULU,2024,74.3,0,Cluster A
LAMPUNG,2024,72.48,1,Cluster B
KEP. BANGKA BELITUNG,2024,74.09,1,Cluster B
KEP. RIAU,2024,79.08,1,Cluster B
DKI JAKARTA,2024,83.55,1,Cluster B
JAWA BARAT,2024,74.24,1,Cluster B
JAWA TENGAH,2024,73.39,1,Cluster B
DI YOGYAKARTA,2024,81.09,1,Cluster B
JAWA TIMUR,2024,74.65,1,Cluster B
BANTEN,2024,75.77,1,Cluster B
BALI,2024,78.01,0,Cluster A
NUSA TENGGARA BARAT,2024,72.37,0,Cluster A
NUSA TENGGARA TIMUR,2024,68.4,0,Cluster A
KALIMANTAN BARAT,2024,70.47,1,Cluster B
KALIMANTAN TENGAH,2024,73.73,1,Cluster B
KALIMANTAN SELATAN,2024,74.66,1,Cluster B
KALIMANTAN TIMUR,2024,78.2,1,Cluster B
KALIMANTAN UTARA,2024,72.88,1,Cluster B
SULAWESI UTARA,2024,75.04,1,Cluster B
SULAWESI TENGAH,2024,71.66,0,Cluster A
SULAWESI SELATAN,2024,74.6,1,Cluster B
SULAWESI TENGGARA,2024,72.94,0,Cluster A
GORONTALO,2024,71.25,0,Cluster A
SULAWESI BARAT,2024,69.8,0,Cluster A
MALUKU,2024,72.75,1,Cluster B
MALUKU UTARA,2024,70.98,1,Cluster B
PAPUA BARAT,2024,67.47,1,Cluster B
PAPUA BARAT DAYA,2024,67.47,1,Cluster B
PAPUA,2024,63.01,0,Cluster A
PAPUA SELATAN,2024,63.01,0,Cluster A
PAPUA TENGAH,2024,63.01,0,Cluster A
PAPUA PEGUNUNGAN,2024,63.01,0,Cluster A
ACEH,2025,73.245,1,Cluster B
ACEH,2026,73.253,1,Cluster B
ACEH,2027,73.253,1,Cluster B
SUMATERA UTARA,2025,74.071,1,Cluster B
SUMATERA UTARA,2026,74.071,1,Cluster B
SUMATERA UTARA,2027,74.091,1,Cluster B
SUMATERA BARAT,2025,75.412,1,Cluster B
SUMATERA BARAT,2026,75.181,1,Cluster B
SUMATERA BARAT,2027,75.181,1,Cluster B
RIAU,2025,74.715,1,Cluster B
RIAU,2026,74.451,1,Cluster B
RIAU,2027,74.451,1,Cluster B
JAMBI,2025,73.629,1,Cluster B
JAMBI,2026,73.622,1,Cluster B
JAMBI,2027,73.615,1,Cluster B
SUMATERA SELATAN,2025,73.382,1,Cluster B
SUMATERA SELATAN,2026,73.403,1,Cluster B
SUMATERA SELATAN,2027,73.436,1,Cluster B
BENGKULU,2025,74.412,0,Cluster A
